CÃ³digo,count,mean,std,min,25%,50%,75%,max
ASAI3.SA,481.0,16.278945058398335,2.257567216985959,11.142144203186035,14.695869445800781,16.331987380981445,17.91248893737793,21.024154663085938
CRFB3.SA,1260.0,17.471115459714618,2.580445782170277,12.461272239685059,15.480042457580566,17.969581604003906,19.396343231201172,22.806386947631836
PCAR3.SA,1260.0,47.690564271760366,31.70392164277209,6.769566059112549,19.63749933242798,35.41057205200195,81.5951919555664,92.13922882080078
ARZZ3.SA,1260.0,61.08520972388131,17.59635584734965,31.24888038635254,46.364402770996094,56.965843200683594,76.25656127929688,102.3352279663086
BHIA3.SA,1260.0,8.287146628470648,4.962444219860721,1.8300000429153442,4.409999847412109,7.065000057220459,12.03249979019165,21.290000915527344
SOMA3.SA,621.0,12.876634640778128,2.4380782914512618,8.716675758361816,10.91655445098877,12.843005180358887,14.364374160766602,19.806167602539062
LREN3.SA,1260.0,32.95012670244489,8.164789846918746,18.097644805908203,25.86841869354248,32.507591247558594,38.26251983642578,55.05299758911133
MGLU3.SA,1260.0,10.288661684497955,7.492122702555085,2.130000114440918,4.19184935092926,6.605000019073486,16.347500324249268,27.40157127380371
PETZ3.SA,590.0,16.747020898431035,5.903916711549533,5.644952774047852,10.868592739105225,17.787832260131836,21.632386207580566,28.15670394897461
CYRE3.SA,1260.0,16.07010936320774,5.188095472973591,7.391080379486084,12.093785524368286,14.575600147247314,20.596226692199707,28.28590965270996
EZTC3.SA,1260.0,24.613471713898672,9.802333670947789,11.748069763183594,16.674161434173584,20.45934772491455,32.44921875,55.126976013183594
MRVE3.SA,1260.0,12.992305067607335,3.3396089997756517,6.690000057220459,10.288067102432251,12.129029750823975,16.096784591674805,20.245271682739258
ALSO3.SA,1260.0,25.070712490687296,7.293819808151251,15.14618968963623,20.21566343307495,23.59975814819336,27.4520263671875,51.928924560546875
IGTI11.SA,299.0,18.944509665702896,1.3786624922767963,14.618563652038574,17.99898910522461,18.793495178222656,20.0342960357666,22.010751724243164
MULT3.SA,1260.0,21.27710140773228,3.165536904218892,15.057543754577637,19.211145877838135,20.969321250915527,22.91878843307495,32.14558792114258
BRAP4.SA,1260.0,23.105785164000498,8.52988432134808,12.928030014038086,16.271849632263184,20.090072631835938,27.604583740234375,46.934139251708984
CMIN3.SA,486.0,4.580419178362246,1.305871737908313,2.599810838699341,3.4632445573806763,4.428360939025879,5.599591612815857,7.609708309173584
VALE3.SA,1260.0,52.12696814612737,20.54256559787438,24.11406898498535,34.429636001586914,42.09539794921875,70.5263671875,93.08580017089844
GGBR4.SA,1260.0,15.633250980907016,5.909785663067119,6.069852352142334,10.467977046966553,13.99250316619873,20.968274116516113,30.48460578918457
GOAU4.SA,1260.0,7.019140810815115,2.6110952757496944,2.6232237815856934,4.792899012565613,6.243819713592529,9.419350385665894,13.912610054016113
CSNA3.SA,1260.0,14.491254507927668,8.774111393115401,4.532754421234131,7.0495216846466064,11.618252754211426,19.22116708755493,41.04796600341797
USIM5.SA,1260.0,9.355542290967609,3.42144178935952,3.146109104156494,7.043559193611145,8.143213748931885,11.548437118530273,19.809865951538086
RRRP3.SA,549.0,37.888579179246136,5.565290022589272,20.799999237060547,34.459999084472656,37.459999084472656,42.0,51.310001373291016
CSAN3.SA,1260.0,14.53310440229991,4.81837993843082,6.689998626708984,9.546591997146606,15.586864948272705,18.731853485107422,24.204803466796875
PETR3.SA,1260.0,12.827713971289377,5.011169919575387,4.37674617767334,9.399696588516235,11.630090713500977,13.055699825286865,30.389400482177734
PETR4.SA,1260.0,11.210868222751314,4.3043633668081585,4.314788341522217,8.387344360351562,10.137104988098145,11.846885204315186,26.5557861328125
RECV3.SA,436.0,21.655239072414712,5.540690533562678,12.897756576538086,16.645334243774414,21.405899047851562,25.8753080368042,34.5770149230957
PRIO3.SA,1260.0,12.365866826356404,10.779630898258457,1.0185999870300293,3.2195000052452087,7.70799994468689,20.78000020980835,42.34000015258789
UGPA3.SA,1260.0,18.19671805321224,5.327135956748468,9.797608375549316,13.66968822479248,17.755292892456055,20.433180332183838,36.445003509521484
VBBR3.SA,1211.0,18.743410707406028,3.2686730795003824,11.204061508178711,16.387789726257324,18.461421966552734,21.167301177978516,26.910842895507812
FLRY3.SA,1260.0,19.084231595387536,3.2782577556723402,12.511754035949707,16.324634075164795,19.30807113647461,21.62091302871704,27.49012565612793
HAPV3.SA,1181.0,9.900951404878388,3.699574480456485,4.119999885559082,6.226418495178223,10.303417205810547,12.738201141357422,18.15142250061035
RDOR3.SA,528.0,48.874481201171875,15.859233987108073,24.03363800048828,32.68783664703369,49.007904052734375,65.37453269958496,73.29624938964844
LWSA3.SA,741.0,14.085612643907266,7.730907847735345,2.522752523422241,7.38512659072876,11.08032512664795,21.85799217224121,34.6853141784668
TOTS3.SA,1260.0,21.86860591721913,9.131054693652006,7.536657810211182,12.6768057346344,24.03659725189209,29.037246227264404,39.64649963378906
CMIG4.SA,1260.0,6.503871834467327,2.1681940385649225,2.642963171005249,5.173305034637451,6.347742795944214,7.853173732757568,11.652161598205566
CPLE6.SA,1260.0,4.149922381507026,1.7840569946609122,1.2116236686706543,2.4801812171936035,4.386708974838257,5.3119388818740845,8.060171127319336
CPFE3.SA,1260.0,21.671438541866483,4.995335381877296,11.815378189086914,19.104389667510986,21.26493263244629,23.21323537826538,33.57081985473633
ELET3.SA,1260.0,30.08734853683956,9.852432070241663,9.473589897155762,24.7364821434021,30.821130752563477,36.741013526916504,51.23627471923828
ELET6.SA,1260.0,29.546103969452872,9.20069504485541,9.930283546447754,24.882503509521484,29.55692481994629,35.273497581481934,52.798526763916016
ENGI11.SA,1260.0,37.19679020775689,6.398294163794242,20.849079132080078,34.354010581970215,39.06167793273926,41.31607913970947,51.06135559082031
ENEV3.SA,1260.0,10.305972224190121,4.91972155855979,2.862499952316284,4.847499847412109,11.707499980926514,14.688124895095825,18.612499237060547
EGIE3.SA,1260.0,32.17630164434039,6.0078125542960255,18.467071533203125,31.549392223358154,33.98575973510742,35.85622978210449,42.25147247314453
EQTL3.SA,1260.0,19.346074998189533,5.028653179177716,10.13037395477295,14.946540594100952,20.53526210784912,23.46632480621338,29.67472267150879
TAEE11.SA,1260.0,23.638388768453446,8.699530691377166,10.883269309997559,16.663841247558594,20.872653007507324,31.620041370391846,39.52452850341797
